學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,140101,教育學系,D 日,D 博士,93,0,8,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,M 碩士,44,0,10,30 臺北市,1 一般
0001,國立政治大學,140101,教育學系,D 日,B 學士,251,17,49,30 臺北市,1 一般
0001,國立政治大學,140203,華語(文)教學學系,D 日,D 博士,13,0,0,30 臺北市,1 一般
0001,國立政治大學,140203,華語(文)教學學系,D 日,M 碩士,51,0,16,30 臺北市,1 一般
0001,國立政治大學,140218,國文教學碩士,N 職,M 碩士,69,0,18,30 臺北市,1 一般
0001,國立政治大學,140401,幼兒教育學系,D 日,M 碩士,40,3,11,30 臺北市,1 一般
0001,國立政治大學,140701,教育行政與政策學系,D 日,M 碩士,41,1,10,30 臺北市,1 一般
0001,國立政治大學,140709,學校行政碩士,N 職,M 碩士,82,0,21,30 臺北市,1 一般
0001,國立政治大學,149907,教育學院,D 日,,0,3,0,30 臺北市,1 一般
0001,國立政治大學,220101,臺灣文學系,D 日,D 博士,14,0,0,30 臺北市,1 一般
0001,國立政治大學,220101,臺灣文學系,D 日,M 碩士,41,7,9,30 臺北市,1 一般
0001,國立政治大學,220201,(中)國(語)文學系,D 日,D 博士,71,0,9,30 臺北市,1 一般
0001,國立政治大學,220201,(中)國(語)文學系,D 日,M 碩士,96,0,20,30 臺北市,1 一般
0001,國立政治大學,220201,(中)國(語)文學系,D 日,B 學士,365,31,80,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,D 博士,28,0,4,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,M 碩士,57,0,12,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,D 日,B 學士,315,25,68,30 臺北市,1 一般
0001,國立政治大學,220307,英國語文學系,N 職,M 碩士,46,0,7,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,M 碩士,25,0,8,30 臺北市,1 一般
0001,國立政治大學,220320,日本語文學系,D 日,B 學士,184,11,42,30 臺北市,1 一般
0001,國立政治大學,220322,阿拉伯語文學系,D 日,B 學士,165,8,25,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,M 碩士,17,0,2,30 臺北市,1 一般
0001,國立政治大學,220324,韓國語文學系,D 日,B 學士,166,9,36,30 臺北市,1 一般
0001,國立政治大學,220326,土耳其語文學系,D 日,B 學士,131,7,21,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系,D 日,B 學士,310,9,59,30 臺北市,1 一般
0001,國立政治大學,220327,歐洲語文學系,N 職,M 碩士,4,0,0,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,M 碩士,14,0,3,30 臺北市,1 一般
0001,國立政治大學,220333,斯拉夫語文學系,D 日,B 學士,238,18,34,30 臺北市,1 一般
0001,國立政治大學,220701,語言學研究所,D 日,D 博士,7,0,1,30 臺北市,1 一般
0001,國立政治大學,220701,語言學研究所,D 日,M 碩士,35,5,13,30 臺北市,1 一般
